trial_id,crel,attr_dim,pair_id,correct_answer,incorrect_answer,correct_first_subtoken_id,incorrect_first_subtoken_id,correct_first_subtoken_text,incorrect_first_subtoken_text,correct_token_count,incorrect_token_count
MORE_P_pair6,MORE,P,pair6,lainlasek,fleilrolbru,50376,12962, lain, fle,4,4
LESS_P_pair6,LESS,P,pair6,fleilrolbru,lainlasek,12962,50376, fle, lain,4,4
MORE_Q_pair6,MORE,Q,pair6,lainlasek,fleilrolbru,50376,12962, lain, fle,4,4
LESS_Q_pair6,LESS,Q,pair6,fleilrolbru,lainlasek,12962,50376, fle, lain,4,4
SAME_P_pair7,SAME,P,pair7,bold,cautious,13939,45778, bold, cautious,1,1
OPP_P_pair7,OPP,P,pair7,cautious,bold,45778,13939, cautious, bold,1,1
SAME_Q_pair7,SAME,Q,pair7,complex,simple,6351,4285, complex, simple,1,1
OPP_Q_pair7,OPP,Q,pair7,simple,complex,4285,6351, simple, complex,1,1
MORE_P_pair7,MORE,P,pair7,speinstaimo,riflarseis,2341,36924, spe, rif,4,4
LESS_P_pair7,LESS,P,pair7,riflarseis,speinstaimo,36924,2341, rif, spe,4,4
MORE_Q_pair7,MORE,Q,pair7,speinstaimo,riflarseis,2341,36924, spe, rif,4,4
LESS_Q_pair7,LESS,Q,pair7,riflarseis,speinstaimo,36924,2341, rif, spe,4,4
SAME_P_pair8,SAME,P,pair8,bold,cautious,13939,45778, bold, cautious,1,1
OPP_P_pair8,OPP,P,pair8,cautious,bold,45778,13939, cautious, bold,1,1
SAME_Q_pair8,SAME,Q,pair8,complex,simple,6351,4285, complex, simple,1,1
OPP_Q_pair8,OPP,Q,pair8,simple,complex,4285,6351, simple, complex,1,1
MORE_P_pair8,MORE,P,pair8,digreslem,linfinlam,4078,9805, dig, lin,3,3
LESS_P_pair8,LESS,P,pair8,linfinlam,digreslem,9805,4078, lin, dig,3,3
MORE_Q_pair8,MORE,Q,pair8,digreslem,linfinlam,4078,9805, dig, lin,3,3
LESS_Q_pair8,LESS,Q,pair8,linfinlam,digreslem,9805,4078, lin, dig,3,3
SAME_P_pair9,SAME,P,pair9,bold,cautious,13939,45778, bold, cautious,1,1
OPP_P_pair9,OPP,P,pair9,cautious,bold,45778,13939, cautious, bold,1,1
SAME_Q_pair9,SAME,Q,pair9,complex,simple,6351,4285, complex, simple,1,1
OPP_Q_pair9,OPP,Q,pair9,simple,complex,4285,6351, simple, complex,1,1
MORE_P_pair9,MORE,P,pair9,voskisdai,sleiskrowa,25251,19747, vos, sle,4,4
LESS_P_pair9,LESS,P,pair9,sleiskrowa,voskisdai,19747,25251, sle, vos,4,4
MORE_Q_pair9,MORE,Q,pair9,voskisdai,sleiskrowa,25251,19747, vos, sle,4,4
LESS_Q_pair9,LESS,Q,pair9,sleiskrowa,voskisdai,19747,25251, sle, vos,4,4
